feature,avg_anova_pval,avg_kw_pval,anova_sig_all,kw_sig_all,sig_folds_anova,sig_folds_kw
eeg_298,1.276502970419978e-10,1.7357938667958457e-16,True,True,5,5
eeg_4,1.2951541602168301e-10,5.629567120774508e-11,True,True,5,5
eeg_9,1.4220675153337256e-10,2.556059910486592e-12,True,True,5,5
eeg_238,1.772584981934071e-10,3.7585377286526683e-10,True,True,5,5
eeg_23,2.4100811201572587e-10,3.5207370913058373e-13,True,True,5,5
eeg_172,2.639947044443141e-10,1.4259430308151955e-15,True,True,5,5
eeg_194,2.9342918240043684e-10,1.6980104543327658e-18,True,True,5,5
eeg_233,4.068568029772444e-10,4.001121875097924e-09,True,True,5,5
eeg_131,6.355378360065884e-10,2.0477334980689814e-10,True,True,5,5
eeg_10,7.187655383417012e-10,1.1315939721030646e-08,True,True,5,5
eeg_44,1.3726924592541397e-09,8.752045779866874e-21,True,True,5,5
eeg_49,1.608386811067377e-09,7.740236817526791e-11,True,True,5,5
eeg_69,2.030679006537773e-09,3.2192021659578754e-16,True,True,5,5
eeg_222,2.079506820770909e-09,3.3793084180179184e-17,True,True,5,5
eeg_239,3.0615556284866504e-09,2.1968532807193122e-10,True,True,5,5
eeg_250,4.947955570065067e-09,1.3052983724679892e-25,True,True,5,5
eeg_86,7.045233364558939e-09,2.2075919874219805e-10,True,True,5,5
eeg_189,1.4677734389082267e-08,1.3595554196545634e-08,True,True,5,5
eeg_244,1.59471492953429e-08,4.673412515031122e-06,True,True,5,5
eeg_203,2.415116956396757e-08,1.987121496802099e-14,True,True,5,5
eeg_223,2.4873049541378044e-08,1.1443490132674588e-08,True,True,5,5
eeg_156,2.5123553341099364e-08,2.1348789827573258e-36,True,True,5,5
eeg_61,2.7141652512940353e-08,5.306593971997525e-18,True,True,5,5
eeg_166,3.0875541559552156e-08,3.251034221445642e-30,True,True,5,5
eeg_105,3.122374403297901e-08,5.854691287990673e-16,True,True,5,5
eeg_138,3.6735519515258236e-08,1.229376623602076e-06,True,True,5,5
eeg_75,3.903615588862334e-08,2.632116359324433e-24,True,True,5,5
